,eixo_1_sobrevivencia_autoexpressao,eixo_2_tradicional_secular
intercepto,3.277981699891899,-5.470732075104922
a008,-0.6026604230280677,1.108961937748808
a165,-0.912606644650423,0.5363044887181002
e018,-0.03539952954959843,0.7299177323841097
e025,-0.6002459347888844,0.2531362574427193
f063,-0.10417503238013806,-0.10732057880344081
f118,0.16536349562758987,-0.005687731468700653
f120,0.15554448606960905,0.04699685448688797
g006,-0.2043904642429972,1.0805702490998568
y002,0.5153785294028095,-0.20249898959342547
y003,0.2412642515605756,0.25898400471100846
